name,question,response
WebMD,"Alexa, open WebMD",welcome to WebMD I can tell you about health conditions drugs or even side effects what would you like to know
WebMD,"Alexa,open WebMD",you are already speaking with the WebMD skill you can ask things like what is diabetes or what are the side effects of Nexium what would you like to know
WebMD,"Alexa,about different conditions drugs",Alexa welcome to WebMD drugs or even side effects
WebMD,"Alexa,asking things like what is diabetes",type 2 diabetes is the most common form of diabetes if you have it it mean to have too much sugar in your blood diabetes can raise your chances of many serious health conditions like kidney disease and stroke
WebMD,"Alexa,what is diabetes",type 2 diabetes is the most common form of diabetes if you have it it mean to have too much sugar in your blood diabetes can raise your chances of many serious health conditions like kidney disease and stroke
WebMD,"Alexa, what are the side effects of ibuprofen",side effects of ibuprofen include upset stomach nausea vomiting diarrhea constipation dizziness or drowsiness ibuprofen may also raise your blood pressure and the risk of blood clots which can cause heart
WebMD,"Alexa, stop",thank you for using WebMD goodbye
anypod,"Alexa, open anypod",anypod At Your Service would you like to resume playing The West Wing
anypod,"Alexa,open anypod",now playing The West Wing weekly on this episode 5.02 The Dogs of War credit card consolidation loan from livestream from 5.49% APR with auto pay
anypod,"Alexa,play the dr. Laura program ",I couldn't find any linked video skills that can play that go to the music video and book section of the Alexa app
anypod,"Alexa,can I play a podcast for",I don't know that one you can possibly get your funds as soon as today plus our listeners get an additional interest rate discount on Top Flite streams already low rates
anypod,"Alexa, stop",
TED talks,"Alexa, open TED talks",welcome back to Ted Talks you were listening to David can we create
TED talks,"Alexa,open TED talks",okay here's your Ted Talk edgy Rama take back your city with paint which last 16 minutes to skip to the next talk say next
TED talks,"Alexa,begin some talks  what would you like to listen",sorry I don't know that
TED talks,"Alexa,find Talks by David Pogue",I can't find Talks by David Pogue
TED talks,"Alexa,play a jaw-dropping talk ",I can't find the song jaw-dropping Talk
TED talks,"Alexa, stop",for my part
fitbit,"Alexa, open fitbit",welcome to Fitbit I can tell about your steps exercise sleep and more how can I help you
fitbit,"Alexa,open fitbit",I cannot access the exercise summary from your Fitbit profile try disabling and enabling the Fitbit skill in your Alexa companion app to adjust your permissions choices
fitbit,"Alexa,things like how am I doing today",I cannot access the daily activity summary from your Fitbit profile try disabling and enabling the Fitbit still in your Alexa companion app to adjust your permissions choices
fitbit,"Alexa,how am I doing today",I cannot access the daily activity summary from your Fitbit profile try disabling and enabling the Fitbit still in your Alexa companion app to adjust your permissions choices
fitbit,"Alexa,more you can say things like how am I doing today",I cannot access the daily activity summary from your Fitbit profile try disabling and enabling the Fitbit still in your Alexa companion app to adjust your permissions choices
fitbit,"Alexa,how many steps",I cannot access the daily activity summary from your Fitbit profile try disabling and enabling the Fitbit still in your Alexa companion app to adjust your permissions choices
fitbit,"Alexa, stop",
uber,"Alexa, open uber",first you'll need to set your default location for the Uber skill would you like to use your Uber home address for this
