name,question,response
WebMD,"Alexa, open WebMD",welcome to WebMD I can tell you about health conditions drugs or even side effects what would you like to know
WebMD,"Alexa, help",you can ask about different conditions drugs or side effects try asking things like what is diabetes or what are the side effects of ibuprofen you can also say stop if you're done what would you like to know
WebMD,"Alexa, stop",thank you for using WebMD goodbye
anypod,"Alexa, open anypod",anypod At Your Service asked me to play a podcast for example you can say play the dr. Laura program
anypod,"Alexa, help",help ask me to play a podcast for example you can say play the dr. Laura program can I play a podcast for you
anypod,"Alexa, stop",
TED talks,"Alexa, open TED talks",welcome back to Ted Talks you can say play some talks plant persuasive talk find Talks by Larry brilliant what would you like to listen to
TED talks,"Alexa, help",how you can say begin some talks play a jaw-dropping talk find Talks by David Pogue what would you like to listen to
TED talks,"Alexa, stop",goodbye
fitbit,"Alexa, open fitbit",welcome to Fitbit I can tell about your steps exercise sleep and more how can I help you
fitbit,"Alexa, help",the Fitbit scale can tell you how you're doing towards your activity goals how many steps you've taken and more you can say things like how am I doing today or how many steps or how did I sleep last night what can I help you with
fitbit,"Alexa, stop",thanks for trying fit24 Alexa goodbye
uber,"Alexa, open uber",welcome to Uber I can request a read from the home or work address in your Uber app or the address in your Alexa app I can also request specific ride types and change your pickup location
uber,"Alexa, help",Uber skill can help you request a ride check your ride status or cancel the ride but you can ask for a different car type if you'd like try saying things like ordering XLR where's my ride what can I do for you
uber,"Alexa, stop",have a nice day
kayak,"Alexa, open kayak",welcome back what would you like to do welcome back what would you like to do
kayak,"Alexa, help",help I can help you find slight book hotels and help you find a rental car if you don't know where you'd like to go you can ask me where your travel budget can take you you can say things like how much does it cost to
kayak,"Alexa, stop",thanks for using kayak
Trainer Tips,"Alexa, open Trainer Tips",welcome Trainor I can help you choose the right team for battle ask me about a type strengths or weaknesses or ask for a trainer tip
Trainer Tips,"Alexa, help",help you can ask me about the strengths or weaknesses of any battle type like fire or steel. Try what's best against fairy types or teach me something new what do you want to know
Trainer Tips,"Alexa, stop",exiting trainer tips
campbell's kitchen,"Alexa, open campbell's kitchen",welcome to Campbell's Kitchen what kind of recipe are you looking to make today
campbell's kitchen,"Alexa, help", this girl from Campbell's Kitchen allows you to search for recipes you can even filter recipes by the types of dishes you're interested in making or by how much time we have to make them
campbell's kitchen,"Alexa, stop",have a great meal and come back by Campbell's Kitchen soon for more great recipes featuring your favorite brand
All recipes,"Alexa, open All recipes",welcome to all recipes you can search for a recipe in your favorites get the recipe of the day or search for a new recipe what would you like to do
All recipes,"Alexa, help",help I sent some more information to your Alexa app would you like to start a new search or search for something in your favorites you can also get your previous recipe hear the recipe of the day or search by ingredient
All recipes,"Alexa, stop",goodbye
Bartender,"Alexa, open Bartender",hi I'm the bartender you can ask me for a drink by name or ingredient or you can just say surprise me
